Period;VolPlayerA;PriceA;PriceB;PriceC;PriceD;PriceE
AgoSet2017;1426,14;10,70;10,20;13,10;7,80;7,10
OutNov2017;1335,28;10,80;10,00;13,00;7,90;7,20
DezJan2018;1304,99;10,40;9,80;12,60;7,80;7,00
FevMar2018;1246,33;11,10;9,80;12,90;7,80;7,30
AbrMai2018;1257,97;11,10;9,90;12,30;7,50;7,20
JunJu2018;1412,52;10,90;10,10;12,00;7,60;7,30
AgoSet2018;1463,79;10,70;10,50;11,70;7,70;7,60
OutNov2018;1422,85;11,00;10,50;11,40;7,70;7,60
DezJan2019;1393,03;10,90;10,60;11,30;7,80;7,80
FevMar2019;1390,06;11,20;10,70;11,70;7,80;7,90
AbrMai2019;1355,08;11,20;10,80;11,30;7,70;7,80
JunJul2019;1473,04;11,10;10,80;11,40;7,60;7,70
AgoSet2019;1435,74;11,20;10,70;11,60;7,70;7,70
OutNov2019;1298,20;11,50;10,70;11,30;7,70;7,70
DezJan2020;1272,22;11,40;10,20;11,50;8,00;7,70
FevMar2020;1298,75;11,60;10,50;11,80;8,00;7,80
AbrMai2020;1662,00;12,00;11,20;12,90;8,00;7,90
JunJul2020;1392,79;12,10;11,60;13,40;8,20;8,00
AgoSet2020;1190,91;12,30;11,30;12,70;8,40;8,20
